,my+data
0,"

5 bedroom house with boys quarters for sale at $150,000

Kampala - Entebbe Rd, Kajjansi, Uganda 






"
1,"

A well built 4 bedroom house for sale in Ntinda at 650m

Ntinda, Kampala, Uganda 






"
2,"

5bedrooms 4bathrooms storied apartment for sale in Bunga Soya at 480m

Bunga, Kampala, Uganda 






"
3,"

3 Bedroom house for sale in Gayaza at 175m

Gayaza, Uganda 






"
4,"

4 Bedroom house on 20 Decimals for sale in Najjera at 700m

Najjera, Uganda 






"
5,"

4 Bedroom house on sale in Kitende at 320m

Kampala - Entebbe Rd, Kajjansi, Uganda 






"
6,"

3 Bedrooms in minister’s village for sale at 550m

Ntinda, Kampala, Uganda 






"
7,"

4 bedrooms with boys quarters for sale in Munyonyo at 600m

Munyonyo, Kampala, Uganda 






"
8,"

New beautiful residential house for Sale in Bwebajja at 350m

Kampala - Entebbe Rd, Uganda 






"
9,"

House along Old Kampala Near Matia Mulumba for sale at 650m

Kampala, Uganda 






"
10,"

HOUSE FOR SALE IN BWEYOGERERE KIWANGA AT 150M

Bweyogerere, Kampala, Uganda 






"
11,"

3 Bedroom house in Zana at 270m

Entebbe Rd, Kampala, Uganda 







3 Beds



2 Baths



12 Decimals


"
